link,name,quote,rank,score
https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,123,8.9
https://movie.douban.com/subject/1297447/,倩女幽魂,两张绝世的脸。 ,124,8.8
https://movie.douban.com/subject/25814707/,小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,125,9.0
https://movie.douban.com/subject/1291828/,天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,51,9.2
https://movie.douban.com/subject/1293839/,罗马假日,爱情哪怕只有一天。,52,9.1
https://movie.douban.com/subject/1418019/,大闹天宫,经典之作，历久弥新。,53,9.4
https://movie.douban.com/subject/1291548/,死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,54,9.2
https://movie.douban.com/subject/1291571/,指环王1：护戒使者,传说的开始。,55,9.1
https://movie.douban.com/subject/1291843/,黑客帝国,视觉革命。,56,9.1
https://movie.douban.com/subject/27060077/,绿皮书,去除成见，需要勇气。,57,8.9
https://movie.douban.com/subject/1299131/,教父2,优雅的孤独。,58,9.3
https://movie.douban.com/subject/1301753/,狮子王,动物版《哈姆雷特》。,59,9.1
https://movie.douban.com/subject/21937445/,辩护人,电影的现实意义大过电影本身。,60,9.2
https://movie.douban.com/subject/1291818/,饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,61,9.2
https://movie.douban.com/subject/1292000/,搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,62,9.0
https://movie.douban.com/subject/1306029/,美丽心灵,爱是一切逻辑和原由。,63,9.1
https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事,在时间之河里感受溺水之苦。,64,9.0
https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,65,9.2
https://movie.douban.com/subject/1900841/,窃听风暴,别样人生。,66,9.2
https://movie.douban.com/subject/1292220/,情书,暗恋的极致。,67,8.9
https://movie.douban.com/subject/1293350/,两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,68,9.1
https://movie.douban.com/subject/1292402/,西西里的美丽传说,美丽无罪。,69,8.9
https://movie.douban.com/subject/1294408/,音乐之声,用音乐化解仇恨，让歌声串起美好。,70,9.1
https://movie.douban.com/subject/26580232/,看不见的客人,你以为你以为的就是你以为的。,71,8.8
https://movie.douban.com/subject/1292849/,拯救大兵瑞恩,美利坚精神输出大片No1.,72,9.1
https://movie.douban.com/subject/1652587/,阿凡达,绝对意义上的美轮美奂。,73,8.8
https://movie.douban.com/subject/1292224/,飞越疯人院,自由万岁。,74,9.1
https://movie.douban.com/subject/1303021/,小鞋子,奔跑的孩子是天使。,75,9.2
https://movie.douban.com/subject/3011235/,哈利·波特与死亡圣器(下),10年的完美句点。,76,9.0
https://movie.douban.com/subject/1293544/,沉默的羔羊,安东尼·霍普金斯的顶级表演。,77,8.9
https://movie.douban.com/subject/2334904/,禁闭岛,昔日翩翩少年，今日大腹便便。,78,8.9
https://movie.douban.com/subject/11525673/,布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,79,8.9
https://movie.douban.com/subject/1780330/,致命魔术,孪生蝙蝠侠大战克隆金刚狼。,80,8.9
https://movie.douban.com/subject/1292343/,蝴蝶效应,人的命运被自己瞬间的抉择改变。,81,8.9
https://movie.douban.com/subject/3442220/,海豚湾,海豚的微笑，是世界上最高明的伪装。,82,9.3
https://movie.douban.com/subject/1292262/,美国往事,往事如烟，无处祭奠。,83,9.2
https://movie.douban.com/subject/1292656/,心灵捕手,人生中应该拥有这样的一段豁然开朗。,84,8.9
https://movie.douban.com/subject/1291832/,低俗小说,故事的高级讲法。,85,8.9
https://movie.douban.com/subject/1292679/,春光乍泄,爱情纠缠，男女一致。,86,9.0
https://movie.douban.com/subject/1294371/,摩登时代,大时代中的人生，小人物的悲喜。,87,9.3
https://movie.douban.com/subject/1291543/,功夫,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,88,8.8
https://movie.douban.com/subject/1302425/,喜剧之王,我是一个演员。,89,8.8
https://movie.douban.com/subject/1291544/,哈利·波特与阿兹卡班的囚徒,不一样的导演，不一样的哈利·波特。,90,8.9
https://movie.douban.com/subject/5322596/,超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,91,9.0
https://movie.douban.com/subject/1292223/,七宗罪,警察抓小偷，老鼠玩死猫。,92,8.8
https://movie.douban.com/subject/1297192/,致命ID,最不可能的那个人永远是最可能的。,93,8.8
https://movie.douban.com/subject/1300299/,杀人回忆,关于连环杀人悬案的集体回忆。,94,8.9
https://movie.douban.com/subject/1865703/,红辣椒,梦的勾结。,95,9.1
https://movie.douban.com/subject/1298070/,加勒比海盗,约翰尼·德普的独角戏。,96,8.8
https://movie.douban.com/subject/6985810/,狩猎,人言可畏。,97,9.1
